X_Value	laser_0	laser_1	laser_2	Untitled	Untitled 1	Untitled 2	Comment
0.000000	-0.019624	-0.009357	0.000830	0.000483	-0.000189	0.001435
0.010000	-0.005671	-0.015923	-0.020236	0.000310	0.000170	0.000390
0.020000	0.010288	-0.015923	-0.001450	0.000561	-0.000505	0.000978
0.030000	-0.006948	0.009065	0.012503	0.000452	0.000177	0.000123
0.040000	0.003448	0.023474	-0.020236	0.000500	-0.000286	-0.000588
0.050000	0.001624	0.029584	0.020072	0.000582	-5.964512E-5	6.199619E-5
0.060000	-0.007678	0.022197	0.007305	0.000319	0.000187	-0.000467
0.070000	-0.007039	0.028307	0.013324	0.000524	-0.000463	0.000792
0.080000	0.015942	0.068706	0.022626	0.000276	8.739572E-5	0.000411
0.090000	0.000895	0.034782	-0.021057	0.000369	-0.000471	0.000755
0.100000	-0.009137	0.061776	0.011682	0.000467	-0.000151	0.001395
0.110000	-0.005671	0.020008	-0.009658	0.000343	-2.561959E-5	0.000386
0.120000	-0.005307	0.038338	-0.006648	0.000671	-0.000427	0.000946
0.130000	0.010379	0.076184	0.006393	0.000474	0.000265	-0.000166
0.140000	-0.017436	0.066974	-0.028170	0.000622	-0.000166	9.192703E-5
0.150000	0.012659	0.055757	-0.003092	0.000584	0.000126	0.000476
0.160000	-0.038228	0.033505	0.015239	0.000293	3.501009E-5	-0.000161
0.170000	0.001259	0.007788	-0.004915	0.000446	-0.000301	0.000923
0.180000	0.015212	0.023474	0.014783	0.000143	0.000232	0.000187
0.190000	0.005546	0.009977	-0.019871	0.000404	-0.000284	0.000809
0.200000	0.007369	0.042989	-0.006283	0.000412	0.000293	0.000699
0.210000	-0.000747	0.003411	0.012503	0.000445	0.000176	-9.520966E-5
0.220000	0.007461	-0.019114	-0.021148	0.000708	6.630003E-5	0.000657
0.230000	0.040200	0.020008	-0.015494	0.000407	0.000597	-0.000156
0.240000	-0.031753	-0.008627	-0.014673	0.000642	-2.276756E-5	0.000831
0.250000	0.006822	-0.004432	0.010770	0.000384	0.000513	0.000700
0.260000	0.001442	-0.003247	-0.013670	0.000306	0.000148	0.000462
0.270000	-0.002115	-0.016379	-0.001906	0.000397	0.000147	0.001193
0.280000	0.006914	0.011709	0.019616	0.000199	0.000555	0.000118
0.290000	0.000439	-0.020300	-0.006557	0.000557	0.000238	0.000666
0.300000	0.018769	0.000766	0.010041	0.000458	0.000872	-0.000243
0.310000	0.012020	-0.012822	-0.010752	0.000586	0.000482	-0.000321
0.320000	0.005363	-0.005435	-0.004368	0.000653	0.000596	0.000517
0.330000	-1.732707E-5	0.011709	0.011773	0.000403	0.000729	9.164137E-6
0.340000	-0.001841	-0.056869	-0.032092	0.000617	0.000325	0.001261
0.350000	-0.019898	-0.047841	-0.003183	0.000292	0.000669	0.000721
0.360000	-0.010870	-0.033067	-0.000173	0.000363	0.000308	0.001087
0.370000	-0.007860	-0.050577	0.006119	0.000391	0.000622	0.001159
0.380000	0.003995	-0.010542	0.001195	0.000365	0.000779	-8.136524E-5
0.390000	-0.025734	-0.003247	-0.033277	0.000704	0.000496	0.000416
0.400000	-0.002115	0.044448	-0.003547	0.000465	0.000848	-0.000681
0.410000	0.013571	-0.034435	-0.000994	0.000719	0.000354	-2.993619E-5
0.420000	-0.005124	-0.013278	0.027915	0.000550	0.000496	0.000311
0.430000	0.008737	0.012986	0.002015	0.000413	0.000398	8.227123E-5
0.440000	-0.002024	-0.026410	-0.004459	0.000522	0.000124	0.001452
0.450000	0.024605	-0.010725	-0.000994	0.000201	0.000434	0.000664
0.460000	-0.003392	-0.007168	-0.010934	0.000455	1.265250E-5	0.001283
0.470000	-0.028105	-0.014190	0.006484	0.000357	0.000273	0.000732
0.480000	0.023237	0.006420	-0.019324	0.000432	0.000364	-9.705074E-5
0.490000	-0.013970	-0.051033	-0.002271	0.000631	4.666543E-5	0.000411
0.500000	0.001624	-0.010816	0.016151	0.000402	0.000297	-0.000619
0.510000	0.003448	-0.013734	-0.002818	0.000635	-0.000266	0.000197
0.520000	-0.009502	-0.007168	-0.003092	0.000427	4.283647E-5	8.426383E-5
0.530000	0.007917	0.022197	0.003931	0.000460	-0.000137	0.000356
0.540000	-0.016980	-0.030331	-0.002271	0.000465	-0.000280	0.001346
0.550000	0.015303	0.024750	0.004295	0.000265	9.237959E-5	0.000663
0.560000	-0.012237	0.006420	0.003657	0.000612	-0.000297	0.001323
0.570000	-0.016980	0.046181	0.003839	0.000388	0.000132	0.000509
0.580000	0.025244	0.032593	0.014144	0.000424	-0.000112	0.000274
0.590000	-0.019624	-0.004979	-0.013761	0.000490	-0.000245	0.000369
0.600000	-0.000291	0.012074	0.010405	0.000396	-9.835886E-5	-0.000504
0.610000	0.007734	0.009065	-0.007560	0.000526	-0.000455	0.000296
0.620000	-0.011326	0.036515	-0.001906	0.000293	-4.232571E-5	-0.000124
0.630000	-0.002480	0.054480	0.010314	0.000408	-0.000253	0.000466
0.640000	-0.020992	0.044448	-0.017227	0.000418	-0.000312	0.000745
0.650000	-0.000564	0.074178	-0.004368	0.000372	1.657379E-5	0.000358
0.660000	0.000439	0.036150	-0.011573	0.000514	-0.000307	0.001204
0.670000	0.000895	0.041804	-0.002180	0.000369	0.000123	0.000403
0.680000	-0.023546	0.066518	0.026182	0.000564	-0.000241	0.000729
0.690000	-0.021357	0.024750	-0.019324	0.000431	-0.000263	0.000511
0.700000	0.017583	0.070074	0.009949	0.000356	3.687764E-5	-1.542440E-5
0.710000	-0.003118	-0.003611	0.000283	0.000526	-0.000300	0.000525
0.720000	0.004269	0.017820	0.010405	0.000367	0.000316	-0.000269
0.730000	0.000895	0.006876	-0.016862	0.000488	-5.723453E-5	0.000456
0.740000	-0.024002	-0.023309	-0.039387	0.000403	0.000144	0.000398
0.750000	-0.016159	-0.000146	0.029556	0.000428	0.000261	0.000302
0.760000	-0.010778	-0.022580	-0.013214	0.000433	4.723658E-5	0.001111
0.770000	-0.004212	-0.004614	-0.004459	0.000307	0.000494	0.000364
0.780000	0.025882	-0.002791	0.017336	0.000499	0.000158	0.000984
0.790000	-0.008225	-0.004979	-0.007560	0.000377	0.000367	0.000459
0.800000	-1.732707E-5	-0.010998	0.003019	0.000441	0.000506	0.000103
